District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
SOUTH,TYR,TYR,SPINNEYS - TYR,Super Market,4,35.218,33.2567,4
BEIRUT,RAS BEIRUT,AIN MREISSEH,UNCLE DEEK,Newelneh,4,35.4875,33.9013,4
BEIRUT,ACHRAFIEH,RMEIL,ASSAAD SAAB GROCERY,GROCERY,6,35.529,33.8887,4
BEIRUT,RAS BEIRUT,AIN MREISSEH,ABOU AL DAHAB,Newelneh,4,35.4928,33.9015,4
MOUNT LEBANON,METN,DEKWANEH,KWIKI MART,Newelneh,5,35.549,33.8863,4
SOUTH,TYR,MAAROUB,SM AL NAKHIL,GROCERY,4,35.3362,33.2855,4
SOUTH,TYR,AITET,ESTHALKET MOHSIN,GROCERY,4,35.3044,33.2296,4
SOUTH,TYR,BAZOURIYE,MM EL MAHTA,GROCERY,5,35.2887,33.252,2
SOUTH,TYR,CHABIYEH,MM ALI SALMAN,GROCERY,4,35.3851,33.2383,2
SOUTH,TYR,SIDIKIN,SM BAKRI,GROCERY,4,35.3078,33.1923,2
