District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
BEIRUT,RAS BEIRUT,AIN MREISSEH,UNCLE DEEK,Newelneh,4,35.4875,33.9013,4
BEIRUT,ACHRAFIEH,RMEIL,ASSAAD SAAB GROCERY,GROCERY,6,35.529,33.8887,4
BEIRUT,RAS BEIRUT,AIN MREISSEH,ABOU AL DAHAB,Newelneh,4,35.4928,33.9015,4
BEIRUT,ACHRAFIEH,NASRA,SPINNEYS - ASHRAFIEH (ALEXANDRE),Super Market,5,35.5188,33.8846,4
BEIRUT,ACHRAFIEH,RMEIL,LE CADDIE ASHRAFIYEH,Super Market,5,35.526,33.8911,4
BEIRUT,MOUSAITBEH,MAR ELIAS,El Makhazen (MOSAITBEH),Super Market,5,35.4954,33.8835,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,NESREEN ALTOROUS,Newelneh,4,35.4923,33.9012,2
BEIRUT,RAS BEIRUT,HAMRA,24/7 - HAMRA,GROCERY,5,35.4831,33.8955,2
BEIRUT,MAZRAA,Corniche el Mazraa,MAZEN PLUS,GROCERY,4,35.4932,33.88,2
BEIRUT,MOUSAITBEH,ZARIF,El Makhazen (ZARIF),Super Market,5,35.4946,33.8922,2
BEIRUT,RAS BEIRUT,KRAITEM,QUALITY MARKET,GROCERY,4,35.4806,33.8906,2
BEIRUT,MOUSAITBEH,HAY EL LIJA,El Makhazen (MOUSAITBE),Super Market,5,35.4947,33.8883,2
BEIRUT,RAS BEIRUT,Rawshe,FRESH WAY COOP JNAH,Super Market,5,35.4817,33.8818,2
BEIRUT,ACHRAFIEH,NASRA,GRAB N GO - Rizk HPTL,GROCERY,5,35.5166,33.8861,2
BEIRUT,ACHRAFIEH,SODECO,SPINNEYS - ASHAFIYEH (SODECO),Super Market,4,35.5169,33.8884,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,SM AL HALABI,GROCERY,5,35.4931,33.8756,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,AHLA AALAM,Newelneh,4,35.4907,33.875,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,MM ABOU WISSAM,GROCERY,4,35.4908,33.8745,2
BEIRUT,RAS BEIRUT,HAMRA,SCORE MARKET,GROCERY,5,35.4792,33.8978,2
BEIRUT,RAS BEIRUT,HAMRA,EXPRESS MAJED,GROCERY,4,35.4868,33.8978,2
BEIRUT,RAS BEIRUT,HAMRA,24/7 - KRAITEM,GROCERY,4,35.4818,33.891,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,GREEN CAFE,Newelneh,4,35.4906,33.8761,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,BEIRUT CAFE,Newelneh,4,35.4885,33.9013,2
BEIRUT,BASHOURA,BECHARA EL KHOURY,Cafe Achour,Newelneh,5,35.5063,33.8908,2
BEIRUT,RMEIL,AL HIKMAT,LE CHARCUTIER Hikmet,GROCERY,5,35.5203,33.8925,2
BEIRUT,ACHRAFIEH,SIOUFI,SIOUFI SUPERMARKET,GROCERY,5,35.5267,33.8853,2
BEIRUT,MOUSAITBEH,MAR ELIAS,TAREK YASSINE,SPECIALIST,4,35.4941,33.8809,2
BEIRUT,RAS BEIRUT,HAMRA,D2D MART HAMRA,Newelneh,4,35.4852,33.8965,2
