District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
SOUTH,TYR,TYR,SPINNEYS - TYR,Super Market,4,35.218,33.2567,4
BEIRUT,RAS BEIRUT,AIN MREISSEH,UNCLE DEEK,Newelneh,4,35.4875,33.9013,4
BEIRUT,ACHRAFIEH,RMEIL,ASSAAD SAAB GROCERY,GROCERY,6,35.529,33.8887,4
BEIRUT,RAS BEIRUT,AIN MREISSEH,ABOU AL DAHAB,Newelneh,4,35.4928,33.9015,4
MOUNT LEBANON,METN,DEKWANEH,KWIKI MART,Newelneh,5,35.549,33.8863,4
SOUTH,TYR,MAAROUB,SM AL NAKHIL,GROCERY,4,35.3362,33.2855,4
SOUTH,TYR,AITET,ESTHALKET MOHSIN,GROCERY,4,35.3044,33.2296,4
SOUTH,TYR,BAZOURIYE,MM EL MAHTA,GROCERY,5,35.2887,33.252,2
SOUTH,TYR,CHABIYEH,MM ALI SALMAN,GROCERY,4,35.3851,33.2383,2
SOUTH,TYR,SIDIKIN,SM BAKRI,GROCERY,4,35.3078,33.1923,2
SOUTH,TYR,SIDIKIN,MM LBASSAM,GROCERY,4,35.3082,33.1921,2
BEIRUT,ACHRAFIEH,NASRA,SPINNEYS - ASHRAFIEH (ALEXANDRE),Super Market,5,35.5188,33.8846,2
SOUTH,TYR,TYR,ESTHALKET LJNOOB,Super Market,4,35.2198,33.2837,2
SOUTH,TYR,CHABIYEH,MOASASIT EL JAWHRA,GROCERY,4,35.3743,33.2396,2
SOUTH,TYR,TYR,RAMAL EL ASLI,Super Market,4,35.2217,33.2577,2
NABATIEH,NABATIEH,ZEBDINE,RAMAL ELASLI Zebdine,Super Market,4,35.4486,33.3812,2
BEIRUT,ACHRAFIEH,RMEIL,LE CADDIE ASHRAFIYEH,Super Market,5,35.526,33.8911,2
MOUNT LEBANON,METN,NABAA,EL HAJJ EST,GROCERY,4,35.5432,33.887,2
BEIRUT,MOUSAITBEH,MAR ELIAS,El Makhazen (MOSAITBEH),Super Market,5,35.4954,33.8835,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,NESREEN ALTOROUS,Newelneh,4,35.4923,33.9012,2
BEIRUT,RAS BEIRUT,HAMRA,24/7 - HAMRA,GROCERY,5,35.4831,33.8955,2
BEIRUT,MAZRAA,Corniche el Mazraa,MAZEN PLUS,GROCERY,4,35.4932,33.88,2
SOUTH,SAIDA,SARAFAND,RAMA AL ASLI Sarafand,Super Market,4,35.3022,33.4654,2
BEIRUT,MOUSAITBEH,ZARIF,El Makhazen (ZARIF),Super Market,5,35.4946,33.8922,2
BEIRUT,RAS BEIRUT,KRAITEM,QUALITY MARKET,GROCERY,4,35.4806,33.8906,2
SOUTH,NABATIEH,KFAR ROUMMANE,AL TAWFEER Kfar Roman,GROCERY,9,35.4911,33.3875,2
SOUTH,TYR,DEIR QANOUN,FOUAD EL KASIR,GROCERY,4,35.2991,33.3021,2
SOUTH,TYR,DEIR QANOUN,ESTEHLAKIET KASIR LLTAWFER,GROCERY,5,35.301,33.3018,2
BEIRUT,MOUSAITBEH,HAY EL LIJA,El Makhazen (MOUSAITBE),Super Market,5,35.4947,33.8883,2
BEIRUT,RAS BEIRUT,Rawshe,FRESH WAY COOP JNAH,Super Market,5,35.4817,33.8818,2
BEIRUT,ACHRAFIEH,NASRA,GRAB N GO - Rizk HPTL,GROCERY,5,35.5166,33.8861,2
SOUTH,TYR,BAZOURIYE,ISTAHLKET JAWAD EKHWAN,GROCERY,5,35.2708,33.2605,2
NABATIEH,NABATIEH,HABBOUCH,El Makhazen Nabatieh,Super Market,4,35.4722,33.414,2
SOUTH,TYR,CHABIYEH,MM ALI HAIDAR RKAIN,GROCERY,4,35.3743,33.2396,2
SOUTH,TYR,EL MAJADEL,ESTHALKET EL HASAN,GROCERY,4,35.3648,33.2377,2
SOUTH,TYR,JOUIAYA,SM FAWAZ,GROCERY,5,35.3394,33.2383,2
SOUTH,TYR,QANA,SAKSOUK 2 KANA,GROCERY,5,35.2872,33.2156,2
SOUTH,TYR,BORJ EL SHMALI,AL TAWFEER Borj Al Shimali,Super Market,5,35.2177,33.2697,2
MOUNT LEBANON,METN,NACCACHE,SPINNEYS - DBAYEH,Super Market,4,35.5876,33.9247,2
MOUNT LEBANON,JBEIL,MASTITA,SPINNEYS - JBEIL,Super Market,4,35.6547,34.1096,2
SOUTH,TYR,SIDIKIN,MM EL WAFA,GROCERY,4,35.3066,33.1814,2
SOUTH,TYR,AITET,MM SALMAN,GROCERY,5,35.3049294,33.2250069,2
SOUTH,TYR,MAARAKE,MM SLAIMAN,GROCERY,5,35.3093,33.2727,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SPINNEYS - TRIPOLI,Super Market,4,35.8243,34.4249,2
BEIRUT,ACHRAFIEH,SODECO,SPINNEYS - ASHAFIYEH (SODECO),Super Market,4,35.5169,33.8884,2
MOUNT LEBANON,BAABDA,BAABDA CITY,Pro Marche Baabda,Super Market,5,35.5435,33.8337,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,SM AL HALABI,GROCERY,5,35.4931,33.8756,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,AHLA AALAM,Newelneh,4,35.4907,33.875,2
SOUTH,SAIDA,GHAZIYE,Ghadeer Sm,GROCERY,4,35.3684,33.5194,2
SOUTH,SAIDA,GHAZIYE,Hassoun Mm,GROCERY,4,35.3696,33.5219,2
SOUTH,SAIDA,RAHBAT,BEKAE SM.,GROCERY,5,35.3746,33.5568,2
MOUNT LEBANON,BAABDA,HAZMIEH,SPINNEYS - HAZMIEH,Super Market,4,35.5332,33.8625,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,MM ABOU WISSAM,GROCERY,4,35.4908,33.8745,2
MOUNT LEBANON,BAABDA,HAZMIEH,Pro Marche Hazmieh,Super Market,9,35.5368,33.852,2
BEIRUT,RAS BEIRUT,HAMRA,SCORE MARKET,GROCERY,5,35.4792,33.8978,2
MOUNT LEBANON,KESERWAN,JOUNIEH CITY,FAHED SUPERMARKET - JOUNIEH,Super Market,4,35.635,33.9849,2
MOUNT LEBANON,METN,BOURJ HAMMOUD,COIN MARKET,GROCERY,4,35.5476,33.8905,2
BEIRUT,RAS BEIRUT,HAMRA,EXPRESS MAJED,GROCERY,4,35.4868,33.8978,2
BEIRUT,RAS BEIRUT,HAMRA,24/7 - KRAITEM,GROCERY,4,35.4818,33.891,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,LE CHARCUTIER ZOUK MOSBEH,Super Market,5,35.6225,33.9504,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,GREEN CAFE,Newelneh,4,35.4906,33.8761,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,BEIRUT CAFE,Newelneh,4,35.4885,33.9013,2
BEIRUT,BASHOURA,BECHARA EL KHOURY,Cafe Achour,Newelneh,5,35.5063,33.8908,2
SOUTH,SAIDA,TAAMIR EL HARA,MOKBEL,GROCERY,5,35.3927,33.5585,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,METRO SUPERSTORE,Super Market,4,35.6496,34.008,2
BEIRUT,RMEIL,AL HIKMAT,LE CHARCUTIER Hikmet,GROCERY,5,35.5203,33.8925,2
SOUTH,TYR,BASS,BAIT EL QAHWE,GROCERY,5,35.214,33.2746,2
MOUNT LEBANON,JBEIL,MASTITA,LE CHARCUTIER Mastita,GROCERY,5,35.6542,34.1041,2
MOUNT LEBANON,METN,SIN EL FIL,LE CHARCUTIER Saloumi,GROCERY,5,35.5408,33.8819,2
SOUTH,TYR,TYR,MM EL KHATIB,GROCERY,4,35.1996,33.2677,2
SOUTH,TYR,TYR,ESTHALKET EL JNOOB,Super Market,4,35.2019,33.2717,2
MOUNT LEBANON,METN,DEKWANEH,LE CHARCUTIER Pros Café,GROCERY,5,35.5534,33.8803,2
SOUTH,TYR,TYR,MM MATAR,GROCERY,4,35.2035,33.2675,2
MOUNT LEBANON,METN,SIN EL FIL,LE CHARCUTIER Jisr El Basha,Super Market,5,35.5416,33.8665,2
MOUNT LEBANON,METN,BOURJ HAMMOUD,Keshkerian Coop,GROCERY,5,35.545,33.8889,2
MOUNT LEBANON,METN,MANSOURIEH,LE CHARCUTIER Mansourieh,GROCERY,9,35.5814,33.8541,2
MOUNT LEBANON,METN,,LE CHARCUTIER Sid El Bouchrieh,GROCERY,9,35.5604,33.8868,2
BEIRUT,ACHRAFIEH,SIOUFI,SIOUFI SUPERMARKET,GROCERY,5,35.5267,33.8853,2
MOUNT LEBANON,METN,RABIEH,LE CHARCUTIER (RABIEH),GROCERY,5,35.6018,33.9158,2
BEIRUT,MOUSAITBEH,MAR ELIAS,TAREK YASSINE,SPECIALIST,4,35.4941,33.8809,2
MOUNT LEBANON,DAHYEH,Ozai,El AMLIEH HYPER Ozai,Super Market,4,35.4967,33.8495,2
BEIRUT,RAS BEIRUT,HAMRA,D2D MART HAMRA,Newelneh,4,35.4852,33.8965,2
MOUNT LEBANON,METN,JAL EL DIEB,LE CHARCUTIER (ANTELIAS),Super Market,5,35.5814,33.9115,2
MOUNT LEBANON,METN,ZALKA,FAHED SM - NAHR EL MOT,Super Market,4,35.569,33.8981,2
MOUNT LEBANON,METN,NACCACHE,LE CHARCUTIER(NACCACHE),Super Market,5,35.5909,33.9227,2
SOUTH,SAIDA,KFAR HATTA,Abo Hamze Mm,GROCERY,5,35.4456,33.5099,2
BEIRUT,MOUSAITBEH,WATA EL MOUSAITBEH,SPINNYES - JNAH,Super Market,4,35.4899281,33.8730949,2
MOUNT LEBANON,DAHYEH,HARET HREIK,AL WATANIEHW Harat,Super Market,5,35.5082,33.8514,2
BEIRUT,RAS BEIRUT,HAMRA,AM PM - BRISTOL,GROCERY,5,35.4843,33.894,2
BEIRUT,MOUSAITBEH,MAR ELIAS,24/7 - MAR ELIAS,GROCERY,4,35.4918,33.8833,2
BEIRUT,MOUSAITBEH,MAR ELIAS,Z MART,GROCERY,5,35.4907,33.8815,2
BEIRUT,MOUSAITBEH,MAR ELIAS,AM PM - MAR ELIAS,GROCERY,5,35.4941,33.8898,2
BEIRUT,RAS BEIRUT,Rawshe,Nadine Express,Newelneh,4,35.4729,33.8909,2
BEIRUT,RAS BEIRUT,VERDUN,FENJAN QAHWA,Newelneh,5,35.4876,33.8914,2
MOUNT LEBANON,BAABDA,HADATH,YALA STOP - HADATH,Petrol Station,5,35.5357,33.8412,2
MOUNT LEBANON,BAABDA,HAZMIEH,Pro Marche El Saha Hazmieh,Super Market,5,35.548,33.8544,2
MOUNT LEBANON,DAHYEH,HARET HREIK,El AMLIEH Haret Hreik,Super Market,4,35.5144,33.8582,2
MOUNT LEBANON,METN,BOURJ HAMMOUD,Jamil Market,GROCERY,5,35.536,33.8901,2
BEIRUT,RAS BEIRUT,Rawshe,Monaco Market,GROCERY,4,35.4737,33.8887,2
BEIRUT,RAS BEIRUT,Rawshe,3Mo Al Dikkanji Rawshe,GROCERY,4,35.4742,33.8882,2
SOUTH,TYR,CHABIYEH,ABO KASSEM RKIN,GROCERY,4,35.3726,33.2395,2
SOUTH,TYR,TYR,MOASASIT YOUSSEF KATTOURA,GROCERY,5,35.1954,33.2734,2
